ID_NAME_PAIR,NUM_REGISTERED_VOTERS
"('192650', 'HASTINGS W-4 P-1')",1821
"('40100', 'HAMRE TWP')",10
"('540150', 'TWIN VALLEY')",376
"('180240', 'PEQUOT LAKES CITY')",1325
"('194220', 'ROSEMOUNT P-2')",2189
"('560335', 'PADDOCK TWP')",199
"('630060', 'POPLAR RIVER TWP.')",64
"('740035', 'ELLENDALE')",407
"('210110', 'LEAF VALLEY TWP')",341
"('200085', 'WEST CONCORD')",447
"('210135', 'MILTONA TWP.')",633
"('270780', 'EDEN PRAIRIE P-19A')",2310
"('680176', 'AMERICA/BELTRAMI ISLAND FOREST UNORG')",33
"('194920', 'WEST ST PAUL W-1 P-2')",1256
"('20530', 'BLAINE W-3 P-6')",2858
"('470085', 'GROVE CITY')",310
"('630025', 'GARNES TWP.')",95
"('410050', 'IVANHOE')",377
"('790105', 'MOUNT PLEASANT TWP.')",262
"('860055', 'COKATO')",1500
"('550012', 'CASCADE TWP. P-3A')",113
"('271220', 'MAPLE GROVE P-07')",2113
"('690795', 'MCDAVITT TWP.')",299
"('191730', 'EAGAN P-03')",2074
"('260110', 'STONY BROOK TWP')",99
"('530166', 'WORTHINGTON W-1 P-5')",448
"('271515', 'MINNEAPOLIS W-4 P-03')",1521
"('621100', 'ST. PAUL W-4 P-11')",2220
"('270875', 'EDINA P-05')",2036
"('230190', 'WYKOFF')",283
"('70230', 'SAINT CLAIR')",468
"('220105', 'LURA TWP.')",112
"('230085', 'HARMONY TWP.')",188
"('620170', 'MAPLEWOOD P-05')",1329
"('271456', 'MINNEAPOLIS W-2 P-11')",1404
"('210145', 'NELSON')",107
"('22235', 'LINO LAKES P-7')",2169
"('110035', 'BIRCH LAKE TWP')",436
"('310135', 'GRAN PREC')",215
"('10115', 'MCGRATH')",34
"('420150', 'SHELBURNE TWP')",101
"('860105', 'MAPLE LAKE')",1192
"('690065', 'BREITUNG TWP.')",431
"('50055', 'MINDEN TWP P-1')",1082
"('220130', 'ROME TWP.')",86
"('800035', 'LYONS TWP.')",120
"('193610', 'NEW TRIER')",50
"('210015', 'ALEXANDRIA W-3')",1912
"('310240', 'LONE PINE TWP')",339
"('550110', 'ROCHESTER W1 P8')",1091
"('640025', 'DELHI')",49
"('820135', 'GREY CLOUD ISLAND TWP.')",200
"('270560', 'CRYSTAL W-2 P-01')",1762
"('450150', 'MIDDLE RIVER')",191
"('192930', 'LAKEVILLE P-03')",2118
"('340150', 'ROSEVILLE TWP.')",325
"('270550', 'CRYSTAL W-1 P-01')",1990
"('620730', 'ST. PAUL W-2 P-06')",626
"('271465', 'MINNEAPOLIS W-3 P-02')",2770
"('620660', 'ST. PAUL W-1 P-13')",1170
"('193000', 'LAKEVILLE P-10')",2067
"('310130', 'GOODLAND TWP')",323
"('110080', 'CHICKAMAW BEACH')",85
"('690970', 'UNORG. PRCT. 15')",641
"('820400', 'WOODBURY P-06')",2025
"('660012', 'DENNISON CITY')",15
"('570080', 'RIVER FALLS TWP')",121
"('670015', 'BEAVER CREEK TWP')",225
"('730090', 'FARMING TWP')",625
"('160040', 'GUNFLINT TRAIL PREC 8')",361
"('280095', 'MOUND PRAIRIE TWP.')",407
"('140235', 'RIVERTON TWP')",281
"('640075', 'MILROY')",140
"('80075', 'MULLIGAN TWP')",116
"('320070', 'JACKSON W-2')",963
"('710010', 'BECKER CITY')",2647
"('800010', 'ALDRICH TWP')",302
"('790090', 'MILLVILLE')",102
"('390044', '0044 - 4-B WABANICA UNORG')",269
"('70105', 'MANKATO W-05 P-02')",257
"('680121', 'NORLAND/SPRUCE VALLEY UNORGANIZED')",82
"('110010', 'BACKUS')",119
"('70065', 'LAKE CRYSTAL')",1429
"('560115', 'DUNN TWP')",664
"('10082', 'UNORG 45-24 (JEWETT UNORG)')",28
"('193110', 'LILYDALE')",822
"('271580', 'MINNEAPOLIS W-5 P-06C')",748
"('350130', 'POPPLETON TWP')",64
"('270935', 'EDINA P-17')",1522
"('280050', 'HOKAH TWP.')",337
"('710030', 'BLUE HILL TWP')",1307
"('480050', 'ISLE')",481
"('80015', 'BURNSTOWN TWP')",173
"('20330', 'BLAINE W-1 P-6')",1212
"('690755', 'IRON JUNCTION')",68
"('560375', 'RICHVILLE')",49
"('730350', 'ST CLOUD W4 P5')",1274
"('460170', 'SHERBURN')",623
"('620190', 'MAPLEWOOD P-07')",1994
"('250160', 'RED WING W-4 P-2')",1036
"('680125', 'PALMVILLE TOWNSHIP')",31
"('120070', 'MILAN')",141
"('420070', 'LAKE MARSHALL TWP')",363
"('280060', 'HOUSTON TWP.')",281
"('690775', 'LAVELL TWP.')",192
"('550180', 'ROCHESTER W5 P5')",1924
"('620640', 'ST. PAUL W-1 P-11')",1059
"('280030', 'CALEDONIA TWP.')",425
"('610135', 'WALDEN TWP.')",103
"('500150', 'MAPLEVIEW')",94
"('780040', 'LEONARDSVILLE TWP.')",57
"('600365', 'PARNELL TWP.')",34
"('272710', 'ROGERS P-01')",2985
"('740065', 'MERTON TWP.')",221
"('540065', 'HEGNE TWP.')",32
"('850025', 'ELBA TWP')",197
"('272495', 'PLYMOUTH W-4 P-20')",2181
"('30085', 'ERIE TWP')",1109
"('271405', 'MINNEAPOLIS W-1 P-10')",980
"('410005', 'ALTA VISTA TWP')",109
"('150035', 'EDDY TWP')",183
"('750015', 'CHOKIO')",262
"('840085', 'FOXHOME TWP.')",61
"('500205', 'UDOLPHO TWP.')",282
"('10145', 'NORDLAND TWP')",734
"('380020', 'BEAVER BAY TWP. P-4')",178
"('550213', 'ROCHESTER TWP P-4')",40
"('210165', 'SOLEM TWP.')",149
"('750085', 'MORRIS TWP.')",234
"('130085', 'SHAFER TWP P-A')",697
"('460005', 'CEDAR TWP.')",141
"('770140', 'MORAN TWP')",315
"('130066', 'NORTH BRANCH P-C')",2587
"('330070', 'MORA')",1880
"('600020', 'BELGIUM TWP.')",44
"('310372', 'WILDWOOD TWP')",103
"('710085', 'PRINCETON CITY P2')",45
"('450225', 'STEPHEN')",404
"('271410', 'MINNEAPOLIS W-2 P-01')",1460
"('270115', 'BLOOMINGTON W-4 P-02')",2035
"('40030', 'BEMIDJI W-3 P-1')",1434
"('10105', 'LIBBY TWP W')",20
"('130065', 'NORTH BRANCH P-B')",1703
"('21715', 'FRIDLEY W-2 P-3')",1531
"('730416', 'SARTELL P-1')",2005
"('740010', 'BERLIN TWP.')",343
"('450035', 'BLOOMER TWP.')",51
"('290065', 'HENRIETTA TWP.')",984
"('620510', 'ROSEVILLE P-09')",2501
"('570015', 'CLOVERLEAF TWP')",62
"('870010', 'CANBY')",907
"('710065', 'HAVEN TWP')",1321
"('140085', 'GLYNDON CITY')",680
"('800125', 'WING RIVER TWP.')",280
"('730450', 'ZION TWP')",198
"('192970', 'LAKEVILLE P-07')",1968
"('770020', 'BIRCHDALE TWP')",548
"('300035', 'ISANTI P-1')",1794
"('50080', 'ST CLOUD W2 P3')",1167
"('730060', 'CROW LAKE TWP')",158
"('370095', 'MADISON')",925
"('240185', 'MYRTLE')",28
"('530140', 'WILMONT')",194
"('570025', 'GOODRIDGE')",60
"('272250', 'MOUND P-1')",1528
"('10125', 'MCGREGOR TWP')",51
"('80090', 'NEW ULM W-2 P-1')",968
"('10050', 'GLEN TWP')",326
"('191280', 'BURNSVILLE P-08')",3137
"('700111', 'SAVAGE P-3')",2371
"('850040', 'GOODVIEW P-2A')",968
"('370070', 'HAMLIN TWP.')",113
"('220145', 'WALNUT LAKE TWP.')",139
"('870140', 'STONY RUN TWP')",288
"('730245', 'ROSCOE')",58
